smiles,quantified_delivery,unnormalized_delivery,quantified_toxicity,unnormalized_toxicity,Formulation,Cationic_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Cationic_Lipid_to_mRNA_weight_ratio,Dosage,Comment,Lipid_name,Num_tails,Num_carbon_in_tail,MolWt,Experiment_ID,Purity,Mix_type,Cargo_type,Experimenter_ID,Model_type,Exposure_time,Delivery_target,Route_of_administration,Experiment_weight,Library_ID,Goal,Batch_or_individual_or_barcoded,Value_name,screen_id,Sample_weight,identifier,Mol,Num tails,Helper_lipid_ID_DOPE,Helper_lipid_ID_DSPC,Cargo_type_mRNA,Cargo_type_siRNA,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1,split_name_for_normalization
CCCCCCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCCCCC)c1,,,1.0,100.64,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,1-a2-6,2.0,6.0,463.6630000000004,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCC(C)C(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)C(C)CCCC)c1,,,1.0,102.65666666666668,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,1-a2-6b,2.0,5.0,463.6630000000003,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCCCCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCCCCCC)c1,,,1.0,100.85333333333334,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,1-a2-7,2.0,7.0,491.7170000000005,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCCC(C)C(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)C(C)CCCCC)c1,,,0.9850333333333332,98.50333333333332,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,1-a2-7b,2.0,6.0,491.7170000000005,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCC(CC)C(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)C(CC)CCCC)c1,,,1.0,100.59333333333332,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,1-a2-7b2,2.0,5.0,491.7170000000005,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCCCCCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCCCCCCC)c1,,,1.0,103.85666666666668,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,1-a2-8,2.0,8.0,519.7710000000005,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCC(C)CCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCC(C)CCC)c1,,,0.9958333333333331,99.58333333333331,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,1-a2-8b,2.0,7.0,505.7440000000004,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCCCCCCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCCCCCCCC)c1,,,1.0,100.73,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,1-a2-9,2.0,9.0,547.8250000000005,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCCC(C)CCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCC(C)CCCCC)c1,,,1.0,102.96333333333332,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,1-a2-9b,2.0,8.0,547.8250000000004,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCC(CC)CCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCC(CC)CCCC)c1,,,1.0,100.97,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,1-a2-9b2,2.0,7.0,547.8250000000004,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
