smiles,quantified_toxicity,Formulation,Ionizable_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Ionizable_Lipid_to_mRNA_weight_ratio,Comment,Dose/Cells,Lipid_name,Num_tails,Num_carbon_in_tail,MolWt,Experiment_ID,Cargo_type,Model_type,Experiment_weight,Sample_weight,Helper_lipid_ID_DOPE,Helper_lipid_ID_DSPC,Helper_lipid_ID_MDOA,Cargo_type_mRNA,Cargo_type_siRNA,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1,Model_type_MDA_MB,toxicity_class,unnormalized_toxicity
CCCCCCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCCCCC)c1,1.0,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,1-a2-6,2.0,6,6.141312411659964,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0
CCCCC(C)C(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)C(C)CCCC)c1,1.0,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,1-a2-6b,2.0,5,6.141312411659964,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0
CCCCCCCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCCCCCC)c1,1.0,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,1-a2-7,2.0,7,6.199934972709498,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0
CCCCCC(C)C(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)C(C)CCCCC)c1,0.9850333333333332,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,1-a2-7b,2.0,6,6.199934972709498,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.9850333333333332
CCCCC(CC)C(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)C(CC)CCCC)c1,1.0,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,1-a2-7b2,2.0,5,6.199934972709498,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0
CCCCCCCCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCCCCCCC)c1,1.0,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,1-a2-8,2.0,8,6.255310405780225,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0
CCCCC(C)CCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCC(C)CCC)c1,0.9958333333333331,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,1-a2-8b,2.0,7,6.2280059451041465,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.9958333333333331
CCCCCCCCCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCCCCCCCC)c1,1.0,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,1-a2-9,2.0,9,6.307779629309987,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0
CCCCCC(C)CCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCC(C)CCCCC)c1,1.0,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,1-a2-9b,2.0,8,6.307779629309987,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0
CCCCC(CC)CCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCC(CC)CCCC)c1,1.0,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,1-a2-9b2,2.0,7,6.307779629309987,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0
CCCCC(C)C(=O)Oc1cc(OC(=O)C(C)CCCC)c(CNCCN(C)CCN)c(OC(=O)C(C)CCCC)c1,1.0,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,1-a3-6b,3.0,5,6.384914427262922,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0
CCCCCC(C)C(=O)Oc1cc(OC(=O)C(C)CCCCC)c(CNCCN(C)CCN)c(OC(=O)C(C)CCCCC)c1,1.0,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,1-a3-7b,3.0,6,6.4534911316651575,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0
CCCCC(CC)C(=O)Oc1cc(OC(=O)C(CC)CCCC)c(CNCCN(C)CCN)c(OC(=O)C(CC)CCCC)c1,1.0,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,1-a3-7b2,3.0,5,6.4534911316651575,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0
CCCCC(C)CCC(=O)Oc1cc(OC(=O)CCC(C)CCCC)c(CNCCN(C)CCN)c(OC(=O)CCC(C)CCCC)c1,1.0,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,1-a3-8b,3.0,7,6.517665364475323,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0
CCCCC(CC)CCC(=O)Oc1cc(OC(=O)CCC(CC)CCCC)c(CNCCN(C)CCN)c(OC(=O)CCC(CC)CCCC)c1,1.0,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,1-a3-9b2,3.0,7,6.57796844517196,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0
CCCCCCC(=O)Oc1cc(CNCCCN(C)CCCN)cc(OC(=O)CCCCCC)c1,1.0,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,2-a2-6,2.0,6,6.199934972709498,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0
CCCCC(C)C(=O)Oc1cc(CNCCCN(C)CCCN)cc(OC(=O)C(C)CCCC)c1,1.0,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,2-a2-6b,2.0,5,6.199934972709498,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0
CCCCCCCC(=O)Oc1cc(CNCCCN(C)CCCN)cc(OC(=O)CCCCCCC)c1,0.9942666666666667,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,2-a2-7,2.0,7,6.255310405780225,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.9942666666666667
CCCCCC(C)C(=O)Oc1cc(CNCCCN(C)CCCN)cc(OC(=O)C(C)CCCCC)c1,0.9853000000000001,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,2-a2-7b,2.0,6,6.255310405780225,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.9853000000000001
CCCCC(CC)C(=O)Oc1cc(CNCCCN(C)CCCN)cc(OC(=O)C(CC)CCCC)c1,1.0,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,3.044522437723423,2-a2-7b2,2.0,5,6.255310405780225,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0
