Ionizable_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Ionizable_Lipid_to_mRNA_weight_ratio,Lipid/Cells,Num_tails,Num_carbon_in_tail,MolWt,Helper_lipid_ID_DOPE,Helper_lipid_ID_DSPC,Helper_lipid_ID_MDOA,Cargo_type_mRNA,Cargo_type_siRNA,Model_type_A549,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1,Model_type_MDA_MB
40.0,19.856854838709683,38.20897452476401,1.7728200000000005,10.0,3.4339872044851463,2.0,13.0,6.38340527839626,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
35.0,16.0,46.5,2.5,10.0,3.044522437723423,2.0,6.0,6.278112334871712,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
25.0,30.0,30.0,1.0,6.716167493,3.543299698151594,2.0,11.0,5.941543994289965,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
17.3,12.5,24.2,1.0,10.0,3.4339872044851463,2.0,14.0,6.416859725371532,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
17.3,12.5,24.2,1.0,10.0,3.4339872044851463,2.0,14.0,6.26893718014087,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
25.0,30.0,30.0,1.0,27.02413091,4.913541658245887,4.0,15.0,7.331764052291531,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,30.0,30.0,1.0,11.93829584,4.105803312594081,2.0,10.0,6.515959320913711,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
23.80952381,23.80952381,47.61904762,4.761904762,14.02128812,3.584996188451511,3.0,8.0,7.012700708503631,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,30.0,30.0,1.0,14.38759241,4.28960924490246,3.0,6.0,6.703051907646283,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
46.3,9.4,42.7,1.6,28.01657590778882,5.416689594206987,6.0,12.0,7.253085312092932,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
