Formulation,Helper_lipid_ID,Comment,mRNA/Cells,Lipid_name,Experiment_ID,Cargo_type,Model_type,Experiment_weight,quantified_delivery,unnormalized_delivery,Formulation_ID,toxicity_class,delivery_class,unnormalized_toxicity
Han_a3,DOPE,,3.0,C13-2,Han_a3,mRNA,HepG2,1.0,,,,0.0,,0.916
Liu_iphos,MDOA,,5.0,26A4-P16,Liu_iphos,mRNA,IGROV1,0.6,-1.22161,0.0,,0.0,0.0,0.95
Liu_iphos,MDOA,,5.0,25A4-P10,Liu_iphos,mRNA,IGROV1,0.6,0.05583,1.0,,0.0,1.0,0.95
Liu_iphos,MDOA,,5.0,27A3-P9,Liu_iphos,mRNA,IGROV1,0.6,1.33328,2.0,,0.0,2.0,0.95
Liu_iphos,MDOA,,5.0,19A2-P13,Liu_iphos,mRNA,IGROV1,0.6,0.05583,1.0,,0.0,1.0,0.95
Liu_iphos,MDOA,,5.0,2A1-P11,Liu_iphos,mRNA,IGROV1,0.6,2.61072,3.0,,0.0,2.0,0.85
Han_amidine,DOPE,Computed with AID lipid molwt as 865,3.0,1T-O14,Han_amidine,mRNA,HepG2,1.0,,,,0.0,,1.0
Liu_iphos,MDOA,,5.0,26A4-P15,Liu_iphos,mRNA,IGROV1,0.6,-1.22161,0.0,,0.0,0.0,0.95
Liu_iphos,MDOA,,5.0,19A2-P6,Liu_iphos,mRNA,IGROV1,0.6,0.05583,1.0,,0.0,1.0,0.95
Liu_iphos,MDOA,,5.0,27A2-P10,Liu_iphos,mRNA,IGROV1,0.6,1.33328,2.0,,0.0,2.0,0.95
Liu_iphos,MDOA,,5.0,28A3-P6,Liu_iphos,mRNA,IGROV1,0.6,-1.22161,0.0,,0.0,0.0,0.95
Lin_peptide,DSPC,,8.0,a12orn-3,Lin_peptide,mRNA,MDA_MB,1.0,,,,0.0,,0.84314
Han_a3,DOPE,,3.0,B2-2,Han_a3,mRNA,HepG2,1.0,,,,0.0,,0.952
Liu_iphos,MDOA,,5.0,28A2-P11,Liu_iphos,mRNA,IGROV1,0.6,0.05583,1.0,,0.0,1.0,0.95
xyu,DOPE,,2.5,AM-EP14,Yu_Aminoglycoside,mRNA,IGROV1,1.0,,,,0.0,,0.81302
Liu_iphos,MDOA,,5.0,27A2-P5,Liu_iphos,mRNA,IGROV1,0.6,-1.22161,0.0,,0.0,0.0,0.95
Liu_iphos,MDOA,,5.0,25A2-P12,Liu_iphos,mRNA,IGROV1,0.6,-1.22161,0.0,,0.0,0.0,0.95
