Ionizable_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Ionizable_Lipid_to_mRNA_weight_ratio,Dose/Cells,Num_tails,Num_carbon_in_tail,MolWt,Helper_lipid_ID_DOPE,Helper_lipid_ID_DSPC,Cargo_type_mRNA,Cargo_type_siRNA,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1,Model_type_MDA_MB
35.0,16.0,46.5,2.5,10.0,3.044522437723423,2.0,9,6.357632539144237,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
56.49717514,0.0,43.50282486,0.0,21.28626566,5.365334017396685,3.0,8,6.745615101278257,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
40.0,18.543649193548397,35.68207681365578,1.6555770000000003,10.0,3.4339872044851463,2.0,13,6.315102996135999,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
15.0,15.0,30.0,3.0,20.0,3.9318256327243257,9.0,12,7.915093664444279,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
17.3,12.5,24.2,1.0,10.0,3.4339872044851463,2.0,16,6.4521120439296915,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
46.3,9.4,42.7,1.6,24.563392596141927,5.2857747394806625,4.0,12,6.868660957841048,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
17.3,12.5,24.2,1.0,10.0,3.4339872044851463,2.0,16,6.373237874959304,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
46.3,9.4,42.7,1.6,17.75396156871659,4.963066231926351,2.0,12,6.179623201519233,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
6.5,1.0,26.6,24.2,5.2277741702741745,2.913758037980388,5.0,11,7.279414692889112,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
17.3,12.5,24.2,1.0,10.0,3.4339872044851463,4.0,14,7.493316135275779,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
23.80952381,23.80952381,47.61904762,4.761904762,10.77588088,3.3300486952179686,2.0,6,6.632134838371347,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
40.0,19.14909274193549,36.84708392603131,1.7096310000000003,10.0,3.4339872044851463,2.0,13,6.34717377489294,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
15.0,15.0,30.0,3.0,20.0,3.9318256327243257,7.0,9,7.37239517409026,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
23.80952381,23.80952381,47.61904762,4.761904762,10.04013539,3.2619482826353634,2.0,6,6.536682901901323,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
35.0,16.0,46.5,2.5,10.0,3.044522437723423,2.0,8,6.403416900796057,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
46.3,9.4,42.7,1.6,23.989146676953386,5.262240209003606,4.0,12,6.808544702510611,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
15.0,15.0,30.0,3.0,20.0,3.9318256327243257,9.0,10,7.525638896873839,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
56.49717514,0.0,43.50282486,0.0,20.02977444,5.304785127416549,5.0,8,7.1951723163152135,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
23.80952381,23.80952381,47.61904762,4.761904762,10.82833474,3.3347312028969744,2.0,8,6.638778499949737,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
23.80952381,23.80952381,47.61904762,4.761904762,16.21769967,3.726759104381723,4.0,6,7.246375207660809,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
17.3,12.5,24.2,1.0,10.0,3.4339872044851463,2.0,9,6.280169221524105,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
17.3,12.5,24.2,1.0,10.0,3.4339872044851463,2.0,12,6.80180236566924,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
15.0,15.0,30.0,3.0,20.0,3.9318256327243257,7.0,10,7.641121712450102,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
