quantified_toxicity,Formulation,Helper_lipid_ID,Comment,mRNA/Cells,Lipid_name,MolWt,Experiment_ID,Cargo_type,Model_type,Experiment_weight,unnormalized_delivery,toxicity_class,delivery_class,unnormalized_toxicity
0.9731800766,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2694",2.5,2A9-3T,6.536682901901323,Lee_unsat,mRNA,IGROV1,1.0,1.0,0.0,1.0,0.9731800766
0.9750957854,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2695",2.5,2A9V-3T,6.556808185258605,Lee_unsat,mRNA,IGROV1,1.0,1.0,0.0,1.0,0.9750957854
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2696",2.5,3A4-3T,6.9279891858129465,Lee_unsat,mRNA,IGROV1,1.0,2.0,0.0,1.0,1.0
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2698",2.5,4A3-3T,7.206325361340523,Lee_unsat,mRNA,IGROV1,1.0,4.0,0.0,2.0,1.0
0.9559386973,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2699",2.5,6A3-3T,7.57546054129233,Lee_unsat,mRNA,IGROV1,1.0,2.0,0.0,1.0,0.9559386973
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2701",2.5,2A9-3C,6.536682901901323,Lee_unsat,mRNA,IGROV1,1.0,0.0,0.0,0.0,1.0
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2702",2.5,2A9V-3C,6.556808185258605,Lee_unsat,mRNA,IGROV1,1.0,0.0,0.0,0.0,1.0
0.9521072797,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2703",2.5,3A4-3C,6.9279891858129465,Lee_unsat,mRNA,IGROV1,1.0,2.0,0.0,1.0,0.9521072797
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2705",2.5,4A3-3C,7.206325361340523,Lee_unsat,mRNA,IGROV1,1.0,4.0,0.0,2.0,1.0
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2706",2.5,6A3-3C,7.57546054129233,Lee_unsat,mRNA,IGROV1,1.0,2.0,0.0,1.0,1.0
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2708",2.5,2A9-SC8,6.620251857238034,Lee_unsat,mRNA,IGROV1,1.0,1.0,0.0,1.0,1.0
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2709",2.5,2A9V-SC8,6.638778499949737,Lee_unsat,mRNA,IGROV1,1.0,0.0,0.0,0.0,1.0
0.9559386973,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2710",2.5,3A4-SC8,7.012700708503631,Lee_unsat,mRNA,IGROV1,1.0,2.0,0.0,1.0,0.9559386973
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2713",2.5,6A3-SC8,7.663960823286971,Lee_unsat,mRNA,IGROV1,1.0,4.0,0.0,2.0,1.0
0.9444444444,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2715",2.5,2A9-Ne,6.682331630220261,Lee_unsat,mRNA,IGROV1,1.0,1.0,0.0,1.0,0.9444444444
0.9808429119,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2716",2.5,2A9V-Ne,6.699752771352431,Lee_unsat,mRNA,IGROV1,1.0,0.0,0.0,0.0,0.9808429119
0.9195402299,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2717",2.5,3A4-Ne,7.075568767532858,Lee_unsat,mRNA,IGROV1,1.0,0.0,0.0,0.0,0.9195402299
0.969348659,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2719",2.5,4A3-Ne,7.35519244003977,Lee_unsat,mRNA,IGROV1,1.0,1.0,0.0,1.0,0.969348659
0.9272030651,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2720",2.5,6A3-Ne,7.729431988678006,Lee_unsat,mRNA,IGROV1,1.0,1.0,0.0,1.0,0.9272030651
0.9559386973,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2721",2.5,2A2-4T,6.632134838371347,Lee_unsat,mRNA,IGROV1,1.0,2.0,0.0,1.0,0.9559386973
0.8678160920000001,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2725",2.5,4A1-4T,7.246375207660808,Lee_unsat,mRNA,IGROV1,1.0,1.0,0.0,1.0,0.8678160920000001
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2728",2.5,2A2-4C,6.632134838371347,Lee_unsat,mRNA,IGROV1,1.0,2.0,0.0,1.0,1.0
0.9252873563,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2732",2.5,4A1-4C,7.246375207660808,Lee_unsat,mRNA,IGROV1,1.0,1.0,0.0,1.0,0.9252873563
0.9501915709,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2735",2.5,2A2-SC8/2,6.6984862793777635,Lee_unsat,mRNA,IGROV1,1.0,2.0,0.0,1.0,0.9501915709
0.9406130268,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2736",2.5,2A9-SC8/2,6.609443578340319,Lee_unsat,mRNA,IGROV1,1.0,1.0,0.0,1.0,0.9406130268
0.9176245211,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2737",2.5,2A9V-SC8/2,6.628169674827216,Lee_unsat,mRNA,IGROV1,1.0,1.0,0.0,1.0,0.9176245211
0.9291187739,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2738",2.5,3A4-SC8/2,7.001750048559102,Lee_unsat,mRNA,IGROV1,1.0,0.0,0.0,0.0,0.9291187739
0.9923371648,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2739",2.5,4A1-SC8/2,7.317983691190038,Lee_unsat,mRNA,IGROV1,1.0,2.0,0.0,1.0,0.9923371648
0.8735632184000001,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2740",2.5,4A3-SC8/2,7.280753667619355,Lee_unsat,mRNA,IGROV1,1.0,3.0,0.0,2.0,0.8735632184000001
0.9540229885,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2741",2.5,6A3-SC8/2,7.652539044998511,Lee_unsat,mRNA,IGROV1,1.0,4.0,0.0,2.0,0.9540229885
0.9559386973,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2743",2.5,2A9-Far,6.839921735215031,Lee_unsat,mRNA,IGROV1,1.0,0.0,0.0,0.0,0.9559386973
0.9176245211,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2744",2.5,2A9V-Far,6.854821692682635,Lee_unsat,mRNA,IGROV1,1.0,1.0,0.0,1.0,0.9176245211
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2745",2.5,3A4-Far,7.234951050508785,Lee_unsat,mRNA,IGROV1,1.0,1.0,0.0,1.0,1.0
0.9214559387,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2747",2.5,4A3-Far,7.515766050972798,Lee_unsat,mRNA,IGROV1,1.0,1.0,0.0,1.0,0.9214559387
0.8678160920000001,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2748",2.5,6A3-Far,7.8946997955962,Lee_unsat,mRNA,IGROV1,1.0,0.0,0.0,0.0,0.8678160920000001
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2750",2.5,2A9-SC6,6.620251857238034,Lee_unsat,mRNA,IGROV1,1.0,1.0,0.0,1.0,1.0
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2751",2.5,2A9V-SC6,6.638778499949737,Lee_unsat,mRNA,IGROV1,1.0,1.0,0.0,1.0,1.0
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2752",2.5,3A4-SC6,7.012700708503631,Lee_unsat,mRNA,IGROV1,1.0,0.0,0.0,0.0,1.0
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2755",2.5,6A3-SC6,7.663960823286971,Lee_unsat,mRNA,IGROV1,1.0,3.0,0.0,2.0,1.0
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2756",2.5,2A2-2T,6.632134838371347,Lee_unsat,mRNA,IGROV1,1.0,3.0,0.0,2.0,1.0
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2760",2.5,4A1-2T,7.246375207660808,Lee_unsat,mRNA,IGROV1,1.0,1.0,0.0,1.0,1.0
0.9980842912,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2763",2.5,2A2-2C,6.632134838371347,Lee_unsat,mRNA,IGROV1,1.0,4.0,0.0,2.0,0.9980842912
0.8582375479,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2767",2.5,4A1-2C,7.246375207660808,Lee_unsat,mRNA,IGROV1,1.0,0.0,0.0,0.0,0.8582375479
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2770",2.5,2A2-5,6.632134838371347,Lee_unsat,mRNA,IGROV1,1.0,4.0,0.0,2.0,1.0
0.9444444444,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2774",2.5,4A1-5,7.246375207660809,Lee_unsat,mRNA,IGROV1,1.0,2.0,0.0,1.0,0.9444444444
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2777",2.5,2A2-Cit,6.770005860122306,Lee_unsat,mRNA,IGROV1,1.0,4.0,0.0,2.0,1.0
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2778",2.5,2A9-Cit,6.687370418977528,Lee_unsat,mRNA,IGROV1,1.0,2.0,0.0,1.0,1.0
1.0,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2779",2.5,2A9V-Cit,6.704704753970704,Lee_unsat,mRNA,IGROV1,1.0,2.0,0.0,1.0,1.0
0.898467433,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2780",2.5,3A4-Cit,7.080669390867011,Lee_unsat,mRNA,IGROV1,1.0,1.0,0.0,1.0,0.898467433
