quantified_toxicity,Formulation,Helper_lipid_ID,Comment,mRNA/Cells,Lipid_name,MolWt,Experiment_ID,Cargo_type,Model_type,Experiment_weight,unnormalized_delivery,toxicity_class,delivery_class,unnormalized_toxicity
,Xu_AGILE,DOPE,,10.0,A1C3B7,6.431363287534036,AGILE,mRNA,HeLa,1.0,-0.193548008,,0.0,
0.95,Liu_iphos,MDOA,,5.0,5A1-P8,6.0464332040682605,Liu_iphos,mRNA,IGROV1,1.0,1.0,0.0,1.0,0.95
,Xu_AGILE,DOPE,,10.0,A4C2B5,6.411833045925822,AGILE,mRNA,HeLa,1.0,5.796251473,,1.0,
,Xu_AGILE,DOPE,,10.0,A3C4B7,6.538364111203811,AGILE,mRNA,HeLa,1.0,6.878053015,,1.0,
,Xu_AGILE,DOPE,,10.0,A6C4B12,6.635014362799652,AGILE,mRNA,HeLa,1.0,1.20466548,,0.0,
0.9750957854,Unsat_dendrimer,DOPE,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2757",2.5,2A9-2T,6.536682901901323,Lee_unsat,mRNA,IGROV1,1.0,2.0,0.0,1.0,0.9750957854
0.95,Liu_iphos,MDOA,,5.0,15A1-P6,6.173200515812028,Liu_iphos,mRNA,IGROV1,1.0,0.0,0.0,0.0,0.95
0.95,Liu_iphos,MDOA,,5.0,14A1-P9,6.081392084631966,Liu_iphos,mRNA,IGROV1,1.0,1.0,0.0,1.0,0.95
,Xu_AGILE,DOPE,,10.0,A8C1B2,6.481739443820937,AGILE,mRNA,HeLa,1.0,7.57066686,,1.0,
,Xu_AGILE,DOPE,,10.0,A19C3B11,6.636311318548909,AGILE,mRNA,HeLa,1.0,0.03583388,,0.0,
,Xu_AGILE,DOPE,,10.0,A15C5B5,6.514878603034272,AGILE,mRNA,HeLa,1.0,8.62388149,,2.0,
0.95,Liu_iphos,MDOA,,5.0,5A1-P5,5.941543994289965,Liu_iphos,mRNA,IGROV1,1.0,1.0,0.0,1.0,0.95
,Xu_AGILE,DOPE,,10.0,A11C4B5,6.478580300234506,AGILE,mRNA,HeLa,1.0,6.717436626,,1.0,
,Xu_AGILE,DOPE,,10.0,A14C2B9,6.495375821760832,AGILE,mRNA,HeLa,1.0,5.533653343,,1.0,
,Xu_AGILE,DOPE,,10.0,A20C3B9,6.561310683265136,AGILE,mRNA,HeLa,1.0,1.220678302,,0.0,
,Xu_AGILE,DOPE,,10.0,A16C3B8,6.520833181656847,AGILE,mRNA,HeLa,1.0,6.261474087,,1.0,
0.95,Liu_iphos,MDOA,,5.0,21A3-P12,6.944419843353559,Liu_iphos,mRNA,IGROV1,1.0,1.0,0.0,1.0,0.95
,Xu_AGILE,DOPE,,10.0,A19C2B6,6.458418217454049,AGILE,mRNA,HeLa,1.0,1.70455384,,1.0,
0.95,Liu_iphos,MDOA,,5.0,10A1-P12,6.381692490318398,Liu_iphos,mRNA,IGROV1,1.0,2.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,20A3-P9,6.781093947637491,Liu_iphos,mRNA,IGROV1,1.0,1.0,0.0,1.0,0.95
,Xu_AGILE,DOPE,,10.0,A18C3B11,6.635014362799652,AGILE,mRNA,HeLa,1.0,1.55607969,,0.0,
,Xu_AGILE,DOPE,,10.0,A5C4B7,6.561254120419557,AGILE,mRNA,HeLa,1.0,4.736207594,,1.0,
