epoch,step,train_loss_epoch,train_loss_step,val/mae,val/rmse,val_loss
0,5,,,0.4655059278011322,0.46968430280685425,0.4655059278011322
0,5,0.8627641797065735,,,,
1,11,,,0.6248068809509277,0.6262933611869812,0.6248068809509277
1,11,0.3521687984466553,,,,
2,17,,,0.3127891719341278,0.32245248556137085,0.3127891719341278
2,17,0.5840031504631042,,,,
3,23,,,0.1100168526172638,0.11445523798465729,0.11001686751842499
3,23,0.33576685190200806,,,,
4,29,,,0.23636280000209808,0.2634209394454956,0.23636280000209808
4,29,0.21361328661441803,,,,
5,35,,,0.11538460850715637,0.12737976014614105,0.11538460850715637
5,35,0.19787922501564026,,,,
6,41,,,0.11546913534402847,0.12116529792547226,0.11546912044286728
6,41,0.12186675518751144,,,,
7,47,,,0.1835377961397171,0.1884753257036209,0.1835377812385559
7,47,0.13117268681526184,,,,
8,49,,0.09023608267307281,,,
8,53,,,0.17903411388397217,0.18220406770706177,0.17903409898281097
8,53,0.18388327956199646,,,,
9,59,,,0.2815675735473633,0.2852441966533661,0.2815675735473633
9,59,0.11661285161972046,,,,
10,65,,,0.25669223070144653,0.2586557865142822,0.25669220089912415
10,65,0.19668704271316528,,,,
11,71,,,0.10990092158317566,0.11599067598581314,0.10990090668201447
11,71,0.19642801582813263,,,,
12,77,,,0.19849161803722382,0.20352338254451752,0.19849161803722382
12,77,0.16002096235752106,,,,
13,83,,,0.05365486443042755,0.05928156152367592,0.053654856979846954
13,83,0.17530836164951324,,,,
14,89,,,0.06350253522396088,0.06998296082019806,0.06350254267454147
14,89,0.09529369324445724,,,,
15,95,,,0.0538112036883831,0.06101670116186142,0.053811214864254
15,95,0.0925963744521141,,,,
16,99,,0.11198398470878601,,,
16,101,,,0.0443878099322319,0.05067833513021469,0.044387806206941605
16,101,0.08409193158149719,,,,
17,107,,,0.07410020381212234,0.07957766950130463,0.07410023361444473
17,107,0.07311902940273285,,,,
18,113,,,0.09021039307117462,0.0940539762377739,0.09021039307117462
18,113,0.08354611694812775,,,,
19,119,,,0.06323082000017166,0.06932323426008224,0.06323082745075226
19,119,0.08465036004781723,,,,
20,125,,,0.10731964558362961,0.11121659725904465,0.10731963068246841
20,125,0.08175995200872421,,,,
21,131,,,0.05943191796541214,0.06602156907320023,0.059431903064250946
21,131,0.0890018492937088,,,,
22,137,,,0.07057397067546844,0.0744248554110527,0.07057397812604904
22,137,0.0801343321800232,,,,
23,143,,,0.06714001297950745,0.07295101135969162,0.06714001297950745
23,143,0.07711608707904816,,,,
24,149,,0.12281473726034164,,,
24,149,,,0.06971269845962524,0.0733138918876648,0.06971269845962524
24,149,0.07647163420915604,,,,
25,155,,,0.04043367877602577,0.04907752200961113,0.04043366760015488
25,155,0.07305300980806351,,,,
26,161,,,0.06357930600643158,0.06738036125898361,0.06357931345701218
26,161,0.06923170387744904,,,,
27,167,,,0.03973068669438362,0.04782608523964882,0.039730701595544815
27,167,0.06902722269296646,,,,
28,173,,,0.0498850978910923,0.054216716438531876,0.0498851053416729
28,173,0.06779912859201431,,,,
29,179,,,0.01922418549656868,0.029120367020368576,0.01922418922185898
29,179,0.0710342600941658,,,,
30,185,,,0.03408903628587723,0.03751164674758911,0.03408903256058693
30,185,0.06817599385976791,,,,
31,191,,,0.019268371164798737,0.02816058322787285,0.019268369302153587
31,191,0.06000958010554314,,,,
32,197,,,0.033408232033252716,0.03694100305438042,0.03340822830796242
32,197,0.0633496642112732,,,,
33,199,,0.051978178322315216,,,
33,203,,,0.021033676341176033,0.027940131723880768,0.021033674478530884
33,203,0.061412177979946136,,,,
34,209,,,0.02283782698214054,0.02884073369204998,0.02283783257007599
34,209,0.06040613725781441,,,,
35,215,,,0.022687949240207672,0.02810949645936489,0.022687945514917374
35,215,0.061388980597257614,,,,
36,221,,,0.023047640919685364,0.02786404825747013,0.02304762601852417
36,221,0.062201641499996185,,,,
37,227,,,0.01792900636792183,0.02480643056333065,0.017929011955857277
37,227,0.05990586429834366,,,,
38,233,,,0.0215437188744545,0.026807229965925217,0.02154371328651905
38,233,0.05636708438396454,,,,
39,239,,,0.025742754340171814,0.029848424717783928,0.02574273943901062
39,239,0.06036975979804993,,,,
40,245,,,0.020722869783639908,0.0269496850669384,0.02072286792099476
40,245,0.05944937840104103,,,,
41,249,,0.08051140606403351,,,
41,251,,,0.0323517881333828,0.035619791597127914,0.0323517881333828
41,251,0.06003377586603165,,,,
42,257,,,0.023311372846364975,0.02800215221941471,0.02331136353313923
42,257,0.05894629657268524,,,,
43,263,,,0.022704720497131348,0.02711172215640545,0.022704722359776497
43,263,0.057855941355228424,,,,
44,269,,,0.02216101996600628,0.026777071878314018,0.02216101624071598
44,269,0.06283358484506607,,,,
45,275,,,0.02154758758842945,0.026441482827067375,0.021547583863139153
45,275,0.05538962781429291,,,,
46,281,,,0.02619231306016445,0.029985088855028152,0.026192309334874153
46,281,0.05701511725783348,,,,
47,287,,,0.02881087362766266,0.03244706243276596,0.02881087362766266
47,287,0.05604158714413643,,,,
48,293,,,0.01876581646502018,0.024826686829328537,0.018765810877084732
48,293,0.05695261433720589,,,,
49,299,,0.11488517373800278,,,
49,299,,,0.020994482561945915,0.026059767231345177,0.020994480699300766
49,299,0.06087722256779671,,,,
