epoch,step,train_loss_epoch,train_loss_step,val/mae,val/rmse,val_loss
0,2,,,0.44350287318229675,0.49581819772720337,0.24583567678928375
0,2,0.3736834228038788,,,,
1,5,,,0.4623717963695526,0.5264126658439636,0.2771103084087372
1,5,0.19822892546653748,,,,
2,8,,,0.23404131829738617,0.2656746804714203,0.07058301568031311
2,8,0.14547032117843628,,,,
3,11,,,0.2509903907775879,0.2891587018966675,0.08361274749040604
3,11,0.08982274681329727,,,,
4,14,,,0.21055303514003754,0.2649005651473999,0.07017230242490768
4,14,0.07832161337137222,,,,
5,17,,,0.19860215485095978,0.2717905342578888,0.07387008517980576
5,17,0.06259465962648392,,,,
6,20,,,0.1797693371772766,0.23244211077690125,0.05402933433651924
6,20,0.06193830817937851,,,,
7,23,,,0.1905600130558014,0.22486822307109833,0.05056571960449219
7,23,0.05671027675271034,,,,
8,26,,,0.19406002759933472,0.23490498960018158,0.05518035590648651
8,26,0.05436496436595917,,,,
9,29,,,0.18907245993614197,0.24127599596977234,0.05821411684155464
9,29,0.05401028320193291,,,,
10,32,,,0.185642808675766,0.2324570268392563,0.05403627082705498
10,32,0.05478045716881752,,,,
11,35,,,0.18448983132839203,0.23082636296749115,0.05328080803155899
11,35,0.04989958927035332,,,,
12,38,,,0.18654580414295197,0.2322859913110733,0.0539567805826664
12,38,0.053678952157497406,,,,
13,41,,,0.19005364179611206,0.23242956399917603,0.05402350425720215
13,41,0.05327813699841499,,,,
14,44,,,0.1913246214389801,0.23829996585845947,0.05678687244653702
14,44,0.05057716369628906,,,,
15,47,,,0.18913422524929047,0.2332756370306015,0.05441752448678017
15,47,0.05382208526134491,,,,
16,49,,0.06341705471277237,,,
16,50,,,0.1837172657251358,0.22716525197029114,0.05160405486822128
16,50,0.053779955953359604,,,,
17,53,,,0.17987069487571716,0.22515039145946503,0.05069269984960556
17,53,0.05245712026953697,,,,
18,56,,,0.1767164170742035,0.22515259683132172,0.05069369450211525
18,56,0.0519716776907444,,,,
19,59,,,0.17914925515651703,0.22917939722537994,0.05252319946885109
19,59,0.0507054477930069,,,,
20,62,,,0.1815592348575592,0.2290331870317459,0.05245620384812355
20,62,0.053153231739997864,,,,
21,65,,,0.18551336228847504,0.2302183210849762,0.05300046131014824
21,65,0.050115276128053665,,,,
22,68,,,0.18414784967899323,0.22699974477291107,0.05152888223528862
22,68,0.05076252296566963,,,,
23,71,,,0.18190374970436096,0.22703245282173157,0.05154373496770859
23,71,0.05247185006737709,,,,
24,74,,,0.18010050058364868,0.2281821072101593,0.05206707492470741
24,74,0.051158975809812546,,,,
25,77,,,0.18158283829689026,0.23013900220394135,0.05296395719051361
25,77,0.05107389762997627,,,,
26,80,,,0.18407873809337616,0.22872917354106903,0.05231703445315361
26,80,0.05229667201638222,,,,
27,83,,,0.1847975105047226,0.2287825644016266,0.052341461181640625
27,83,0.05109746754169464,,,,
28,86,,,0.1842476725578308,0.22904877364635468,0.0524633415043354
28,86,0.05248434841632843,,,,
29,89,,,0.1841358244419098,0.2293582558631897,0.05260520055890083
29,89,0.05215733125805855,,,,
30,92,,,0.18437199294567108,0.2298308163881302,0.05282219871878624
30,92,0.05160190910100937,,,,
31,95,,,0.18445877730846405,0.22802388668060303,0.051994893699884415
31,95,0.05105093866586685,,,,
32,98,,,0.18200968205928802,0.2275383621454239,0.05177370458841324
32,98,0.05145862326025963,,,,
33,99,,0.04840289428830147,,,
33,101,,,0.17950962483882904,0.22814470529556274,0.05205000936985016
33,101,0.05047731101512909,,,,
34,104,,,0.17957158386707306,0.22863377630710602,0.052273403853178024
34,104,0.05084636062383652,,,,
35,107,,,0.18175548315048218,0.22839905321598053,0.05216612666845322
35,107,0.051443830132484436,,,,
36,110,,,0.18292270600795746,0.22887174785137177,0.052382275462150574
36,110,0.050066765397787094,,,,
37,113,,,0.1837557852268219,0.23003867268562317,0.05291777849197388
37,113,0.04949754849076271,,,,
38,116,,,0.18349701166152954,0.22990936040878296,0.05285830795764923
38,116,0.051644764840602875,,,,
39,119,,,0.1827111393213272,0.22846399247646332,0.052195798605680466
39,119,0.051692891865968704,,,,
40,122,,,0.18120984733104706,0.2276766002178192,0.05183663219213486
40,122,0.052299704402685165,,,,
41,125,,,0.1814964860677719,0.22694164514541626,0.05150251090526581
41,125,0.04969525337219238,,,,
42,128,,,0.1816329061985016,0.2268349677324295,0.05145411193370819
42,128,0.05211343988776207,,,,
43,131,,,0.18194666504859924,0.2272767871618271,0.05165473371744156
43,131,0.04985402524471283,,,,
44,134,,,0.18303991854190826,0.22898326814174652,0.05243333801627159
44,134,0.05038245767354965,,,,
45,137,,,0.18278680741786957,0.22968074679374695,0.05275324359536171
45,137,0.052169203758239746,,,,
46,140,,,0.18182973563671112,0.22884681820869446,0.05237087234854698
46,140,0.05147188901901245,,,,
47,143,,,0.18149876594543457,0.2281510978937149,0.052052926272153854
47,143,0.0506538487970829,,,,
48,146,,,0.1818728893995285,0.22759701311588287,0.051800403743982315
48,146,0.04908120632171631,,,,
49,149,,0.06361626833677292,,,
49,149,,,0.18166708946228027,0.22739265859127045,0.051707420498132706
49,149,0.05237788334488869,,,,
