Formulation,Cationic_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Cationic_Lipid_to_mRNA_weight_ratio,Comment,Dosage
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,2.3611816033448454,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,6.25
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,2.4631776040719857,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,6.25
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,2.565173604799127,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,6.25
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,2.667169605526268,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,6.25
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,2.769165606253408,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,6.25
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,2.871161606980549,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,6.25
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,2.9731576077076887,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,6.25
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,3.0751536084348294,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,6.25
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,3.2791456098891105,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,6.25
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,2.3611816033448454,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,12.5
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,2.4631776040719857,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,12.5
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,2.565173604799127,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,12.5
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,2.667169605526268,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,12.5
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,2.769165606253408,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,12.5
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,2.871161606980549,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,12.5
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,2.9731576077076887,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,12.5
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,3.0751536084348294,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,12.5
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,3.2791456098891105,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,12.5
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,2.3611816033448454,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,25.0
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,2.4631776040719857,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,25.0
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,2.565173604799127,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,25.0
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,2.667169605526268,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,25.0
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,2.769165606253408,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,25.0
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,2.871161606980549,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,25.0
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,2.9731576077076887,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,25.0
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,3.0751536084348294,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,25.0
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,3.2791456098891105,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,25.0
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,2.3611816033448454,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,50.0
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,2.4631776040719857,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,50.0
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,2.565173604799127,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,50.0
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,2.667169605526268,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,50.0
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,2.769165606253408,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,50.0
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,2.871161606980549,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,50.0
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,2.9731576077076887,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,50.0
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,3.0751536084348294,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,50.0
Farbiak_dendrimer,38.5,30,30,1.5,DOPE,3.2791456098891105,Calculated w:w based off 2500:1 molar ratio. May have made mistake in calculation,50.0
