Lipid_name,Num_tails,Mol,Num_carbon_in_tail
2A2-3T,2,758.101,6
2A9-3T,2,688.994,6
2A9V-3T,2,703.021,6
3A4-3T,3,1019.44,6
4A1-3T,4,1402.01,6
4A3-3T,4,1346.93,6
6A3-3T,6,1948.758,6
2A2-3C,2,758.101,6
2A9-3C,2,688.994,6
2A9V-3C,2,703.021,6
3A4-3C,3,1019.44,6
4A1-3C,4,1402.01,6
4A3-3C,4,1346.93,6
6A3-3C,6,1948.758,6
2A2-SC8,2,818.241,8
2A9-SC8,2,749.134,8
2A9V-SC8,2,763.161,8
3A4-SC8,3,1109.65,8
4A1-SC8,4,1522.29,8
4A3-SC8,4,1467.21,8
6A3-SC8,6,2129.178,8
2A2-Ne,2,866.285,8
2A9-Ne,2,797.178,8
2A9V-Ne,2,811.205,8
3A4-Ne,3,1181.716,8
4A1-Ne,4,1618.378,8
4A3-Ne,4,1563.298,8
6A3-Ne,6,2273.31,8
2A2-4T,2,758.101,6
2A9-4T,2,688.994,6
2A9V-4T,2,703.021,6
3A4-4T,3,1019.44,6
4A1-4T,4,1402.01,6
4A3-4T,4,1346.93,6
6A3-4T,6,1948.758,6
2A2-4C,2,758.101,6
2A9-4C,2,688.994,6
2A9V-4C,2,703.021,6
3A4-4C,3,1019.44,6
4A1-4C,4,1402.01,6
4A3-4C,4,1346.93,6
6A3-4C,6,1948.758,6
2A2-SC8,2,810.177,8
2A9-SC8,2,741.07,8
2A9V-SC8,2,755.097,8
3A4-SC8,3,1097.554,8
4A1-SC8,4,1506.162,8
4A3-SC8,4,1451.082,8
6A3-SC8,6,2104.986,8
2A2-Far,2,1002.523,12
2A9-Far,2,933.416,12
2A9V-Far,2,947.443,12
3A4-Far,3,1386.073,12
4A1-Far,4,1890.854,12
4A3-Far,4,1835.774,12
6A3-Far,6,2682.024,12
2A2-SC6,2,818.241,6
2A9-SC6,2,749.134,6
2A9V-SC6,2,763.161,6
3A4-SC6,3,1109.65,6
4A1-SC6,4,1522.29,6
4A3-SC6,4,1467.21,6
6A3-SC6,6,2129.178,6
2A2-2T,2,758.101,6
2A9-2T,2,688.994,6
2A9V-2T,2,703.021,6
3A4-2T,3,1019.44,6
4A1-2T,4,1402.01,6
4A3-2T,4,1346.93,6
6A3-2T,6,1948.758,6
2A2-2C,2,758.101,6
2A9-2C,2,688.994,6
2A9V-2C,2,703.021,6
3A4-2C,3,1019.44,6
4A1-2C,4,1402.01,6
4A3-2C,4,1346.93,6
6A3-2C,6,1948.758,6
2A2-5,2,758.101,6
2A9-5,2,688.994,6
2A9V-5,2,703.021,6
3A4-5,3,1019.44,6
4A1-5,4,1402.01,6
4A3-5,4,1346.93,6
6A3-5,6,1948.758,6
2A2-Cit,2,870.317,8
2A9-Cit,2,801.21,8
2A9V-Cit,2,815.237,8
3A4-Cit,3,1187.764,8
4A1-Cit,4,1626.442,8
4A3-Cit,4,1571.362,8
6A3-Cit,6,2285.406,8
