Formulation,Ionizable_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Ionizable_Lipid_to_mRNA_weight_ratio,Dose/Cells
Liu_iphos,25,30,30,1,MDOA,4.476173377,22.380866885000003
Liu_iphos,25,30,30,1,MDOA,4.725061612,23.625308060000002
Liu_iphos,25,30,30,1,MDOA,4.973949847,24.869749235
Liu_iphos,25,30,30,1,MDOA,5.222838082,26.11419041
Liu_iphos,25,30,30,1,MDOA,5.471726318,27.35863159
Liu_iphos,25,30,30,1,MDOA,5.720614553,28.603072765
Liu_iphos,25,30,30,1,MDOA,5.969502788,29.84751394
Liu_iphos,25,30,30,1,MDOA,6.218391023,31.091955114999998
Liu_iphos,25,30,30,1,MDOA,6.467279258,32.336396289999996
Liu_iphos,25,30,30,1,MDOA,6.716167493,33.580837465
Liu_iphos,25,30,30,1,MDOA,6.965055728,34.82527864
Liu_iphos,25,30,30,1,MDOA,7.213943963,36.069719815
Liu_iphos,25,30,30,1,MDOA,7.462832198,37.31416099
Liu_iphos,25,30,30,1,MDOA,4.973949847,24.869749235
Liu_iphos,25,30,30,1,MDOA,5.222838082,26.11419041
Liu_iphos,25,30,30,1,MDOA,5.471726318,27.35863159
Liu_iphos,25,30,30,1,MDOA,5.720614553,28.603072765
Liu_iphos,25,30,30,1,MDOA,5.969502788,29.84751394
Liu_iphos,25,30,30,1,MDOA,6.218391023,31.091955114999998
Liu_iphos,25,30,30,1,MDOA,6.467279258,32.336396289999996
Liu_iphos,25,30,30,1,MDOA,6.716167493,33.580837465
Liu_iphos,25,30,30,1,MDOA,6.965055728,34.82527864
Liu_iphos,25,30,30,1,MDOA,7.213943963,36.069719815
Liu_iphos,25,30,30,1,MDOA,7.462832198,37.31416099
Liu_iphos,25,30,30,1,MDOA,7.711720434,38.55860217
Liu_iphos,25,30,30,1,MDOA,7.960608669,39.803043345
Liu_iphos,25,30,30,1,MDOA,5.471726318,27.35863159
Liu_iphos,25,30,30,1,MDOA,5.720614553,28.603072765
Liu_iphos,25,30,30,1,MDOA,5.969502788,29.84751394
Liu_iphos,25,30,30,1,MDOA,6.218391023,31.091955114999998
Liu_iphos,25,30,30,1,MDOA,6.467279258,32.336396289999996
Liu_iphos,25,30,30,1,MDOA,6.716167493,33.580837465
Liu_iphos,25,30,30,1,MDOA,6.965055728,34.82527864
Liu_iphos,25,30,30,1,MDOA,7.213943963,36.069719815
Liu_iphos,25,30,30,1,MDOA,7.462832198,37.31416099
Liu_iphos,25,30,30,1,MDOA,7.711720434,38.55860217
Liu_iphos,25,30,30,1,MDOA,7.960608669,39.803043345
Liu_iphos,25,30,30,1,MDOA,8.209496904,41.04748452
Liu_iphos,25,30,30,1,MDOA,8.458385139,42.291925695
Liu_iphos,25,30,30,1,MDOA,5.969502788,29.84751394
Liu_iphos,25,30,30,1,MDOA,6.218391023,31.091955114999998
Liu_iphos,25,30,30,1,MDOA,6.467279258,32.336396289999996
Liu_iphos,25,30,30,1,MDOA,6.716167493,33.580837465
Liu_iphos,25,30,30,1,MDOA,6.965055728,34.82527864
Liu_iphos,25,30,30,1,MDOA,7.213943963,36.069719815
Liu_iphos,25,30,30,1,MDOA,7.462832198,37.31416099
Liu_iphos,25,30,30,1,MDOA,7.711720434,38.55860217
Liu_iphos,25,30,30,1,MDOA,7.960608669,39.803043345
Liu_iphos,25,30,30,1,MDOA,8.209496904,41.04748452
Liu_iphos,25,30,30,1,MDOA,8.458385139,42.291925695
Liu_iphos,25,30,30,1,MDOA,8.707273374,43.536366869999995
Liu_iphos,25,30,30,1,MDOA,8.956161609,44.780808045
Liu_iphos,25,30,30,1,MDOA,6.467279258,32.336396289999996
Liu_iphos,25,30,30,1,MDOA,6.716167493,33.580837465
Liu_iphos,25,30,30,1,MDOA,6.965055728,34.82527864
Liu_iphos,25,30,30,1,MDOA,7.213943963,36.069719815
Liu_iphos,25,30,30,1,MDOA,7.462832198,37.31416099
Liu_iphos,25,30,30,1,MDOA,7.711720434,38.55860217
Liu_iphos,25,30,30,1,MDOA,7.960608669,39.803043345
Liu_iphos,25,30,30,1,MDOA,8.209496904,41.04748452
Liu_iphos,25,30,30,1,MDOA,8.458385139,42.291925695
Liu_iphos,25,30,30,1,MDOA,8.707273374,43.536366869999995
Liu_iphos,25,30,30,1,MDOA,8.956161609,44.780808045
Liu_iphos,25,30,30,1,MDOA,9.205049844,46.02524922
Liu_iphos,25,30,30,1,MDOA,9.453938079,47.269690395
Liu_iphos,25,30,30,1,MDOA,6.965055728,34.82527864
Liu_iphos,25,30,30,1,MDOA,7.213943963,36.069719815
Liu_iphos,25,30,30,1,MDOA,7.462832198,37.31416099
Liu_iphos,25,30,30,1,MDOA,7.711720434,38.55860217
Liu_iphos,25,30,30,1,MDOA,7.960608669,39.803043345
Liu_iphos,25,30,30,1,MDOA,8.209496904,41.04748452
Liu_iphos,25,30,30,1,MDOA,8.458385139,42.291925695
Liu_iphos,25,30,30,1,MDOA,8.707273374,43.536366869999995
Liu_iphos,25,30,30,1,MDOA,8.956161609,44.780808045
Liu_iphos,25,30,30,1,MDOA,9.205049844,46.02524922
Liu_iphos,25,30,30,1,MDOA,9.453938079,47.269690395
Liu_iphos,25,30,30,1,MDOA,9.702826315,48.51413157499999
Liu_iphos,25,30,30,1,MDOA,9.95171455,49.75857275
Liu_iphos,25,30,30,1,MDOA,5.471726318,27.35863159
Liu_iphos,25,30,30,1,MDOA,5.720614553,28.603072765
Liu_iphos,25,30,30,1,MDOA,5.969502788,29.84751394
Liu_iphos,25,30,30,1,MDOA,6.218391023,31.091955114999998
Liu_iphos,25,30,30,1,MDOA,6.467279258,32.336396289999996
Liu_iphos,25,30,30,1,MDOA,6.716167493,33.580837465
Liu_iphos,25,30,30,1,MDOA,6.965055728,34.82527864
Liu_iphos,25,30,30,1,MDOA,7.213943963,36.069719815
Liu_iphos,25,30,30,1,MDOA,7.462832198,37.31416099
Liu_iphos,25,30,30,1,MDOA,7.711720434,38.55860217
Liu_iphos,25,30,30,1,MDOA,7.960608669,39.803043345
Liu_iphos,25,30,30,1,MDOA,8.209496904,41.04748452
Liu_iphos,25,30,30,1,MDOA,8.458385139,42.291925695
Liu_iphos,25,30,30,1,MDOA,6.467279258,32.336396289999996
Liu_iphos,25,30,30,1,MDOA,6.716167493,33.580837465
Liu_iphos,25,30,30,1,MDOA,6.965055728,34.82527864
Liu_iphos,25,30,30,1,MDOA,7.213943963,36.069719815
Liu_iphos,25,30,30,1,MDOA,7.462832198,37.31416099
Liu_iphos,25,30,30,1,MDOA,7.711720434,38.55860217
Liu_iphos,25,30,30,1,MDOA,7.960608669,39.803043345
Liu_iphos,25,30,30,1,MDOA,8.209496904,41.04748452
Liu_iphos,25,30,30,1,MDOA,8.458385139,42.291925695
Liu_iphos,25,30,30,1,MDOA,8.707273374,43.536366869999995
Liu_iphos,25,30,30,1,MDOA,8.956161609,44.780808045
Liu_iphos,25,30,30,1,MDOA,9.205049844,46.02524922
Liu_iphos,25,30,30,1,MDOA,9.453938079,47.269690395
Liu_iphos,25,30,30,1,MDOA,7.462832198,37.31416099
Liu_iphos,25,30,30,1,MDOA,7.711720434,38.55860217
Liu_iphos,25,30,30,1,MDOA,7.960608669,39.803043345
Liu_iphos,25,30,30,1,MDOA,8.209496904,41.04748452
Liu_iphos,25,30,30,1,MDOA,8.458385139,42.291925695
Liu_iphos,25,30,30,1,MDOA,8.707273374,43.536366869999995
Liu_iphos,25,30,30,1,MDOA,8.956161609,44.780808045
Liu_iphos,25,30,30,1,MDOA,9.205049844,46.02524922
Liu_iphos,25,30,30,1,MDOA,9.453938079,47.269690395
Liu_iphos,25,30,30,1,MDOA,9.702826315,48.51413157499999
Liu_iphos,25,30,30,1,MDOA,9.95171455,49.75857275
Liu_iphos,25,30,30,1,MDOA,10.20060278,51.0030139
Liu_iphos,25,30,30,1,MDOA,10.44949102,52.247455099999996
Liu_iphos,25,30,30,1,MDOA,8.458385139,42.291925695
Liu_iphos,25,30,30,1,MDOA,8.707273374,43.536366869999995
Liu_iphos,25,30,30,1,MDOA,8.956161609,44.780808045
Liu_iphos,25,30,30,1,MDOA,9.205049844,46.02524922
Liu_iphos,25,30,30,1,MDOA,9.453938079,47.269690395
Liu_iphos,25,30,30,1,MDOA,9.702826315,48.51413157499999
Liu_iphos,25,30,30,1,MDOA,9.95171455,49.75857275
Liu_iphos,25,30,30,1,MDOA,10.20060278,51.0030139
Liu_iphos,25,30,30,1,MDOA,10.44949102,52.247455099999996
Liu_iphos,25,30,30,1,MDOA,10.69837925,53.49189625
Liu_iphos,25,30,30,1,MDOA,10.94726749,54.73633745
Liu_iphos,25,30,30,1,MDOA,11.19615573,55.98077865
Liu_iphos,25,30,30,1,MDOA,11.44504396,57.2252198
Liu_iphos,25,30,30,1,MDOA,8.956161609,44.780808045
Liu_iphos,25,30,30,1,MDOA,9.205049844,46.02524922
Liu_iphos,25,30,30,1,MDOA,9.453938079,47.269690395
Liu_iphos,25,30,30,1,MDOA,9.702826315,48.51413157499999
Liu_iphos,25,30,30,1,MDOA,9.95171455,49.75857275
Liu_iphos,25,30,30,1,MDOA,10.20060278,51.0030139
Liu_iphos,25,30,30,1,MDOA,10.44949102,52.247455099999996
Liu_iphos,25,30,30,1,MDOA,10.69837925,53.49189625
Liu_iphos,25,30,30,1,MDOA,10.94726749,54.73633745
Liu_iphos,25,30,30,1,MDOA,11.19615573,55.98077865
Liu_iphos,25,30,30,1,MDOA,11.44504396,57.2252198
Liu_iphos,25,30,30,1,MDOA,11.6939322,58.469661
Liu_iphos,25,30,30,1,MDOA,11.94282043,59.714102149999995
Liu_iphos,25,30,30,1,MDOA,9.453938079,47.269690395
Liu_iphos,25,30,30,1,MDOA,9.702826315,48.51413157499999
Liu_iphos,25,30,30,1,MDOA,9.95171455,49.75857275
Liu_iphos,25,30,30,1,MDOA,10.20060278,51.0030139
Liu_iphos,25,30,30,1,MDOA,10.44949102,52.247455099999996
Liu_iphos,25,30,30,1,MDOA,10.69837925,53.49189625
Liu_iphos,25,30,30,1,MDOA,10.94726749,54.73633745
Liu_iphos,25,30,30,1,MDOA,11.19615573,55.98077865
Liu_iphos,25,30,30,1,MDOA,11.44504396,57.2252198
Liu_iphos,25,30,30,1,MDOA,11.6939322,58.469661
Liu_iphos,25,30,30,1,MDOA,11.94282043,59.714102149999995
Liu_iphos,25,30,30,1,MDOA,12.19170867,60.95854335
Liu_iphos,25,30,30,1,MDOA,12.4405969,62.2029845
Liu_iphos,25,30,30,1,MDOA,9.95171455,49.75857275
Liu_iphos,25,30,30,1,MDOA,10.20060278,51.0030139
Liu_iphos,25,30,30,1,MDOA,10.44949102,52.247455099999996
Liu_iphos,25,30,30,1,MDOA,10.69837925,53.49189625
Liu_iphos,25,30,30,1,MDOA,10.94726749,54.73633745
Liu_iphos,25,30,30,1,MDOA,11.19615573,55.98077865
Liu_iphos,25,30,30,1,MDOA,11.44504396,57.2252198
Liu_iphos,25,30,30,1,MDOA,11.6939322,58.469661
Liu_iphos,25,30,30,1,MDOA,11.94282043,59.714102149999995
Liu_iphos,25,30,30,1,MDOA,12.19170867,60.95854335
Liu_iphos,25,30,30,1,MDOA,12.4405969,62.2029845
Liu_iphos,25,30,30,1,MDOA,12.68948514,63.447425700000004
Liu_iphos,25,30,30,1,MDOA,12.93837337,64.69186685
Liu_iphos,25,30,30,1,MDOA,6.485164718,32.42582359
Liu_iphos,25,30,30,1,MDOA,6.734052953,33.670264765
Liu_iphos,25,30,30,1,MDOA,6.982941188,34.91470594
Liu_iphos,25,30,30,1,MDOA,7.231829423,36.159147114999996
Liu_iphos,25,30,30,1,MDOA,7.480717658,37.40358829
Liu_iphos,25,30,30,1,MDOA,7.729605893,38.648029465
Liu_iphos,25,30,30,1,MDOA,7.978494128,39.89247064
Liu_iphos,25,30,30,1,MDOA,8.227382363,41.136911815000005
Liu_iphos,25,30,30,1,MDOA,8.476270598,42.381352989999996
Liu_iphos,25,30,30,1,MDOA,8.725158834,43.62579417
Liu_iphos,25,30,30,1,MDOA,8.974047069,44.870235345
Liu_iphos,25,30,30,1,MDOA,9.222935304,46.11467652
Liu_iphos,25,30,30,1,MDOA,9.471823539,47.359117695
Liu_iphos,25,30,30,1,MDOA,7.978494128,39.89247064
Liu_iphos,25,30,30,1,MDOA,8.227382363,41.136911815000005
Liu_iphos,25,30,30,1,MDOA,8.476270598,42.381352989999996
Liu_iphos,25,30,30,1,MDOA,8.725158834,43.62579417
Liu_iphos,25,30,30,1,MDOA,8.974047069,44.870235345
Liu_iphos,25,30,30,1,MDOA,9.222935304,46.11467652
Liu_iphos,25,30,30,1,MDOA,9.471823539,47.359117695
Liu_iphos,25,30,30,1,MDOA,9.720711774,48.60355887
Liu_iphos,25,30,30,1,MDOA,9.969600009,49.848000045000006
Liu_iphos,25,30,30,1,MDOA,10.21848824,51.092441199999996
Liu_iphos,25,30,30,1,MDOA,10.46737648,52.3368824
Liu_iphos,25,30,30,1,MDOA,10.71626471,53.58132355000001
Liu_iphos,25,30,30,1,MDOA,10.96515295,54.825764750000005
Liu_iphos,25,30,30,1,MDOA,9.471823539,47.359117695
Liu_iphos,25,30,30,1,MDOA,9.720711774,48.60355887
Liu_iphos,25,30,30,1,MDOA,9.969600009,49.848000045000006
Liu_iphos,25,30,30,1,MDOA,10.21848824,51.092441199999996
Liu_iphos,25,30,30,1,MDOA,10.46737648,52.3368824
Liu_iphos,25,30,30,1,MDOA,10.71626471,53.58132355000001
Liu_iphos,25,30,30,1,MDOA,10.96515295,54.825764750000005
Liu_iphos,25,30,30,1,MDOA,11.21404118,56.070205900000005
Liu_iphos,25,30,30,1,MDOA,11.46292942,57.3146471
