Lipid_name,Num tails,Mol
ZA1-Ep8,2,709.096
ZA2-Ep8,2,793.258
ZA3-Ep8,5,1051.66
ZA4-Ep8,3,766.188
ZA5-Ep8,3,794.242
ZA6-Ep8,3,849.322
ZA1-Ep10,2,765.204
ZA2-Ep10,2,849.366
ZA3-Ep10,5,1191.93
ZA4-Ep10,3,850.35
ZA5-Ep10,3,878.404
ZA6-Ep10,3,933.484
ZA1-Ep12,2,821.312
ZA2-Ep12,2,905.474
ZA3-Ep12,5,1332.2
ZA4-Ep12,3,934.512
ZA5-Ep12,3,962.566
ZA6-Ep12,3,1017.646
ZA1-Ep14,2,877.42
ZA3-Ep14,5,1472.47
ZA4-Ep14,3,1018.674
ZA5-Ep14,3,1046.728
ZA6-Ep14,3,1101.808
ZA1-Ep16,2,933.528
ZA2-Ep16,2,1017.69
ZA3-Ep16,5,1612.74
ZA4-Ep16,3,1102.836
ZA5-Ep16,3,1130.89
ZA6-Ep16,3,1185.97
ZA1-Ep18,2,989.636
ZA3-Ep18,5,1753.01
ZA4-Ep18,3,1186.998
ZA5-Ep18,3,1215.052
ZA6-Ep18,3,1270.132
ZA1-Ac8,2,821.224
ZA2-Ac8,2,905.386
ZA3-Ac8,5,1331.98
ZA4-Ac8,3,934.38
ZA5-Ac8,3,962.434
ZA6-Ac8,3,1017.514
ZA1-Ac10,2,877.332
ZA2-Ac10,2,961.494
ZA3-Ac10,5,1472.25
ZA4-Ac10,3,1018.542
ZA5-Ac10,3,1046.596
ZA6-Ac10,3,1101.676
ZA1-Ac12,2,933.44
ZA2-Ac12,2,1017.602
ZA3-Ac12,5,1612.52
ZA4-Ac12,3,1102.704
ZA5-Ac12,3,1130.758
ZA6-Ac12,3,1185.838
ZA1-Ac14,2,989.548
ZA2-Ac14,2,1073.71
ZA3-Ac14,5,1752.79
ZA4-Ac14,3,1186.866
ZA5-Ac14,3,1214.92
ZA6-Ac14,3,1270.0
ZA1-Ac16,2,1045.656
ZA2-Ac16,2,1129.818
ZA3-Ac16,5,1893.06
ZA4-Ac16,3,1271.028
ZA5-Ac16,3,1299.082
ZA6-Ac16,3,1354.162
ZA1-Ac18,2,1101.764
ZA2-Ac18,2,1185.926
ZA3-Ac18,5,2033.33
ZA4-Ac18,3,1355.19
ZA5-Ac18,3,1383.244
ZA6-Ac18,3,1438.324
