Lipid_name,Num_tails
1-a2-6,2
1-a2-6b,2
1-a2-7,2
1-a2-7b,2
1-a2-7b2,2
1-a2-8,2
1-a2-8b,2
1-a2-9,2
1-a2-9b,2
1-a2-9b2,2
1-a3-6b,3
1-a3-7b,3
1-a3-7b2,3
1-a3-8b,3
1-a3-9b2,3
2-a2-6,2
2-a2-6b,2
2-a2-7,2
2-a2-7b,2
2-a2-7b2,2
2-a2-8,2
2-a2-8b,2
2-a2-9,2
2-a2-9b,2
2-a2-9b2,2
2-a3-6b,3
2-a3-7b,3
2-a3-7b2,3
2-a3-8b,3
2-a3-9b2,3
3-a2-6,2
3-a2-6b,2
3-a2-7,2
3-a2-7b,2
3-a2-7b2,2
3-a2-8,2
3-a2-8b,2
3-a2-9,2
3-a2-9b,2
3-a2-9b2,2
3-a3-6b,3
3-a3-7b,3
3-a3-7b2,3
3-a3-8b,3
3-a3-9b2,3
4-a2-6,2
4-a2-6b,2
4-a2-7,2
4-a2-7b,2
4-a2-7b2,2
4-a2-8,2
4-a2-8b,2
4-a2-9,2
4-a2-9b,2
4-a2-9b2,2
4-a3-6b,3
4-a3-7b,3
4-a3-7b2,3
4-a3-8b,3
4-a3-9b2,3
5-a2-6,2
5-a2-6b,2
5-a2-7,2
5-a2-7b,2
5-a2-7b2,2
5-a2-8,2
5-a2-8b,2
5-a2-9,2
5-a2-9b,2
5-a2-9b2,2
5-a3-6b,3
5-a3-7b,3
5-a3-7b2,3
5-a3-8b,3
5-a3-9b2,3
6-a2-6,2
6-a2-6b,2
6-a2-7,2
6-a2-7b,2
6-a2-7b2,2
6-a2-8,2
6-a2-8b,2
6-a2-9,2
6-a2-9b,2
6-a2-9b2,2
6-a3-6b,3
6-a3-7b,3
6-a3-7b2,3
6-a3-8b,3
6-a3-9b2,3
7-a2-6,2
7-a2-6b,2
7-a2-7,2
7-a2-7b,2
7-a2-7b2,2
7-a2-8,2
7-a2-8b,2
7-a2-9,2
7-a2-9b,2
7-a2-9b2,2
7-a3-6b,3
7-a3-7b,3
7-a3-7b2,3
7-a3-8b,3
7-a3-9b2,3
8-a2-6,2
8-a2-6b,2
8-a2-7,2
8-a2-7b,2
8-a2-7b2,2
8-a2-8,2
8-a2-8b,2
8-a2-9,2
8-a2-9b,2
8-a2-9b2,2
8-a3-6b,3
8-a3-7b,3
8-a3-7b2,3
8-a3-8b,3
8-a3-9b2,3
9-a2-6,2
9-a2-6b,2
9-a2-7,2
9-a2-7b,2
9-a2-7b2,2
9-a2-8,2
9-a2-8b,2
9-a2-9,2
9-a2-9b,2
9-a2-9b2,2
9-a3-6b,3
9-a3-7b,3
9-a3-7b2,3
9-a3-8b,3
9-a3-9b2,3
10-a2-6,2
10-a2-6b,2
10-a2-7,2
10-a2-7b,2
10-a2-7b2,2
10-a2-8,2
10-a2-8b,2
10-a2-9,2
10-a2-9b,2
10-a2-9b2,2
10-a3-6b,3
10-a3-7b,3
10-a3-7b2,3
10-a3-8b,3
10-a3-9b2,3
11-a2-6,2
11-a2-6b,2
11-a2-7,2
11-a2-7b,2
11-a2-7b2,2
11-a2-8,2
11-a2-8b,2
11-a2-9,2
11-a2-9b,2
11-a2-9b2,2
11-a3-6b,3
11-a3-7b,3
11-a3-7b2,3
11-a3-8b,3
11-a3-9b2,3
12-a2-6,2
12-a2-6b,2
12-a2-7,2
12-a2-7b,2
12-a2-7b2,2
12-a2-8,2
12-a2-8b,2
12-a2-9,2
12-a2-9b,2
12-a2-9b2,2
12-a3-6b,3
12-a3-7b,3
12-a3-7b2,3
12-a3-8b,3
12-a3-9b2,3
