Formulation,Cationic_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Cationic_Lipid_to_mRNA_weight_ratio,Dosage
zhang,6.5,1,26.6,24.2,DSPC,7.027330447330451,50
zhang,6.5,1,26.6,24.2,DSPC,7.432150072150075,50
zhang,6.5,1,26.6,24.2,DSPC,7.836969696969701,50
zhang,6.5,1,26.6,24.2,DSPC,8.241789321789323,50
zhang,6.5,1,26.6,24.2,DSPC,8.646608946608948,50
zhang,6.5,1,26.6,24.2,DSPC,9.456248196248195,50
zhang,6.5,1,26.6,24.2,DSPC,6.091738816738815,50
zhang,6.5,1,26.6,24.2,DSPC,6.445955988455988,50
zhang,6.5,1,26.6,24.2,DSPC,6.800173160173161,50
zhang,6.5,1,26.6,24.2,DSPC,7.154390331890333,50
zhang,6.5,1,26.6,24.2,DSPC,8.870360750360746,50
zhang,6.5,1,26.6,24.2,DSPC,4.974761904761908,50
zhang,6.5,1,26.6,24.2,DSPC,5.2277741702741745,50
zhang,6.5,1,26.6,24.2,DSPC,5.48078643578644,50
zhang,6.5,1,26.6,24.2,DSPC,5.7337987012987055,50
zhang,6.5,1,26.6,24.2,DSPC,5.986810966810971,50
zhang,6.5,1,26.6,24.2,DSPC,6.492835497835501,50
zhang,6.5,1,26.6,24.2,DSPC,8.393755411255407,50
zhang,6.5,1,26.6,24.2,DSPC,8.899779942279942,50
zhang,6.5,1,26.6,24.2,DSPC,9.405804473304471,50
zhang,6.5,1,26.6,24.2,DSPC,9.23961038961039,50
zhang,6.5,1,26.6,24.2,DSPC,6.554274891774891,50
zhang,6.5,1,26.6,24.2,DSPC,7.363914141414143,50
zhang,6.5,1,26.6,24.2,DSPC,7.042521645021649,50
zhang,6.5,1,26.6,24.2,DSPC,7.447341269841275,50
zhang,6.5,1,26.6,24.2,DSPC,7.852160894660901,50
zhang,6.5,1,26.6,24.2,DSPC,8.256980519480525,50
zhang,6.5,1,26.6,24.2,DSPC,3.244880952380951,50
zhang,6.5,1,26.6,24.2,DSPC,3.4472907647907625,50
