Amine_number,Full_SMILES,Amine_SMILES,Tail_length,Num_tails,Amine,Tail,Delivery_target,Route_of_administration,Purity,Target_or_delivered_gene,Experiment_weight,Value_name
31,CCCCCCCCCCCCCCOC(=O)CCN(CCOCCO)CCC(=O)OCCCCCCCCCCCCCC,NCCOCCO,14,2,KW_A31,C14,liver,iv,Pure,FVII,3,FVII silencing
32,CCCCCCCCCCCCCCOC(=O)CCN(CCCCCO)CCC(=O)OCCCCCCCCCCCCCC,NCCCCCO,14,2,KW_A32,C14,liver,iv,Pure,FVII,3,FVII silencing
36,CCCCCCCCCCCCCCOC(=O)CCN(CCCCCCO)CCC(=O)OCCCCCCCCCCCCCC,NCCCCCCO,14,2,KW_A36,C14,liver,iv,Pure,FVII,3,FVII silencing
64,CCCCCCCCCCCCCCOC(=O)CCN(CC)CCCN(CC)CCC(=O)OCCCCCCCCCCCCCC,CCNCCCNCC,14,2,KW_A64,C14,liver,iv,Pure,FVII,3,FVII silencing
68,CCCCCCCCCCOC(=O)CCN(C)CCOCCN(C)CCC(=O)OCCCCCCCCCC,CNCCOCCNC,10,2,KW_A68,C10,liver,iv,Pure,FVII,3,FVII silencing
68,CCCCCCCCCCCOC(=O)CCN(C)CCOCCN(C)CCC(=O)OCCCCCCCCCCC,CNCCOCCNC,11,2,KW_A68,C11,liver,iv,Pure,FVII,3,FVII silencing
80,CCCCCCCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCCCCCCC,CN(C)CCCN,13,2,KW_A80,C13,liver,iv,Pure,FVII,3,FVII silencing
81,CCCCCCCCCCCCCOC(=O)CCN(CCCN(CC)CC)CCC(=O)OCCCCCCCCCCCCC,CCN(CC)CCCN,13,2,KW_A81,C13,liver,iv,Pure,FVII,3,FVII silencing
86,CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)CCN(CCO)CCO,NCCN(CCO)CCO,12,2,KW_A86,C12,liver,iv,Pure,FVII,3,FVII silencing
99,CCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC)CCN(CCC(=O)OCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCC,NCCN,11,4,KW_A99,C11,liver,iv,Pure,FVII,3,FVII silencing
109,CCCCCCCCCCCOC(=O)CCN(CCO)CCN(CCC(=O)OCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCC,NCCNCCO,11,3,KW_A109,C11,liver,iv,Pure,FVII,3,FVII silencing
109,CCCCCCCCCCCCOC(=O)CCN(CCO)CCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC,NCCNCCO,12,3,KW_A109,C12,liver,iv,Pure,FVII,3,FVII silencing
109,CCCCCCCCCCCCCOC(=O)CCN(CCO)CCN(CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC,NCCNCCO,13,3,KW_A109,C13,liver,iv,Pure,FVII,3,FVII silencing
