cv_3_pred_quantified_toxicity,quantified_toxicity,smiles,Formulation,Helper_lipid_ID,Comment,Lipid_name,Experiment_ID,Purity,Mix_type,Cargo_type,Experimenter_ID,Model_type,Delivery_target,Route_of_administration,Experiment_weight,Library_ID,Goal,Batch_or_individual_or_barcoded,Value_name,screen_id,identifier,Mol,Num tails,quantified_delivery,Prediction_split_name
0.97115105,1.0,[O-]S(=O)(=O)CCC[N+](C)(C)CCNC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCC)CCCN(C)CCCN(CCC(=O)OCCCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCCCC,ZAL_form,,"""ZAL:siRNA ratio such that the number of hydrophobic tails in the ZAL times the ZAL:siRNA mole ratio in the formulation was ~1000"", plus assumed siRNA MW = 13300Da",ZA5-Ac16,Miller_Zwitter,Crude,Hand,siRNA,miller,HeLa,FFL,in_vitro,1.0,Miller_ZAL,max,Individual,Cell_viability,Miller_Zwitter,,1299.082,3.0,,Miller_Zwitter_Miller_ZAL_FFL_in_vitro
0.97361237,1.0,[O-]S(=O)(=O)CCC[N+](C)(C)CCNC(=O)CCN(C(C)C)CCN(CCN(C(C)C)CCC(=O)OCCCCCCCC)CCN(C(C)C)CCC(=O)OCCCCCCCC,ZAL_form,,"""ZAL:siRNA ratio such that the number of hydrophobic tails in the ZAL times the ZAL:siRNA mole ratio in the formulation was ~1000"", plus assumed siRNA MW = 13300Da",ZA2-Ac8,Miller_Zwitter,Crude,Hand,siRNA,miller,HeLa,FFL,in_vitro,1.0,Miller_ZAL,max,Individual,Cell_viability,Miller_Zwitter,,905.386,2.0,,Miller_Zwitter_Miller_ZAL_FFL_in_vitro
0.96614695,0.9765721332,[O-]S(=O)(=O)CCC[N+](C)(C)CCNC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)CCCN5CCN(CCCN(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC)CC5,ZAL_form,,"""ZAL:siRNA ratio such that the number of hydrophobic tails in the ZAL times the ZAL:siRNA mole ratio in the formulation was ~1000"", plus assumed siRNA MW = 13300Da",ZA6-Ac14,Miller_Zwitter,Crude,Hand,siRNA,miller,HeLa,FFL,in_vitro,1.0,Miller_ZAL,max,Individual,Cell_viability,Miller_Zwitter,,1270.0,3.0,,Miller_Zwitter_Miller_ZAL_FFL_in_vitro
0.97361237,1.0,[O-]S(=O)(=O)CCC[N+](C)(C)CCNC(=O)CCN(C(C)C)CCN(CCN(C(C)C)CCC(=O)OCCCCCCCCCCCC)CCN(C(C)C)CCC(=O)OCCCCCCCCCCCC,ZAL_form,,"""ZAL:siRNA ratio such that the number of hydrophobic tails in the ZAL times the ZAL:siRNA mole ratio in the formulation was ~1000"", plus assumed siRNA MW = 13300Da",ZA2-Ac12,Miller_Zwitter,Crude,Hand,siRNA,miller,HeLa,FFL,in_vitro,1.0,Miller_ZAL,max,Individual,Cell_viability,Miller_Zwitter,,1017.602,2.0,,Miller_Zwitter_Miller_ZAL_FFL_in_vitro
0.9474587,0.8668310726999999,[O-]S(=O)(=O)CCC[N+](C)(C)CCNC(=O)CCN(CC(O)CCCCCCCCCC)CCCN(C)CCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,ZAL_form,,"""ZAL:siRNA ratio such that the number of hydrophobic tails in the ZAL times the ZAL:siRNA mole ratio in the formulation was ~1000"", plus assumed siRNA MW = 13300Da",ZA5-Ep12,Miller_Zwitter,Crude,Hand,siRNA,miller,HeLa,FFL,in_vitro,1.0,Miller_ZAL,max,Individual,Cell_viability,Miller_Zwitter,,962.566,3.0,,Miller_Zwitter_Miller_ZAL_FFL_in_vitro
0.97361237,1.0,[O-]S(=O)(=O)CCC[N+](C)(C)CCNC(=O)CCN(C)CCN(CCN(C)CCC(=O)OCCCCCCCC)CCN(C)CCC(=O)OCCCCCCCC,ZAL_form,,"""ZAL:siRNA ratio such that the number of hydrophobic tails in the ZAL times the ZAL:siRNA mole ratio in the formulation was ~1000"", plus assumed siRNA MW = 13300Da",ZA1-Ac8,Miller_Zwitter,Crude,Hand,siRNA,miller,HeLa,FFL,in_vitro,1.0,Miller_ZAL,max,Individual,Cell_viability,Miller_Zwitter,,821.224,2.0,,Miller_Zwitter_Miller_ZAL_FFL_in_vitro
0.97361237,1.0,[O-]S(=O)(=O)CCC[N+](C)(C)CCNC(=O)CCN(CCC(=O)OCCCCCCCCCC)CCN(CCN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC)CCN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC,ZAL_form,,"""ZAL:siRNA ratio such that the number of hydrophobic tails in the ZAL times the ZAL:siRNA mole ratio in the formulation was ~1000"", plus assumed siRNA MW = 13300Da",ZA3-Ac10,Miller_Zwitter,Crude,Hand,siRNA,miller,HeLa,FFL,in_vitro,1.0,Miller_ZAL,max,Individual,Cell_viability,Miller_Zwitter,,1472.25,5.0,,Miller_Zwitter_Miller_ZAL_FFL_in_vitro
0.969348,1.0,[O-]S(=O)(=O)CCC[N+](C)(C)CCNC(=O)CCN(CC(O)CCCCCCCCCCCCCC)CCCN5CCN(CCCN(CC(O)CCCCCCCCCCCCCC)CC(O)CCCCCCCCCCCCCC)CC5,ZAL_form,,"""ZAL:siRNA ratio such that the number of hydrophobic tails in the ZAL times the ZAL:siRNA mole ratio in the formulation was ~1000"", plus assumed siRNA MW = 13300Da",ZA6-Ep16,Miller_Zwitter,Crude,Hand,siRNA,miller,HeLa,FFL,in_vitro,1.0,Miller_ZAL,max,Individual,Cell_viability,Miller_Zwitter,,1185.97,3.0,,Miller_Zwitter_Miller_ZAL_FFL_in_vitro
0.97361237,1.0,[O-]S(=O)(=O)CCC[N+](C)(C)CCNC(=O)CCN(C(C)C)CCN(CCN(C(C)C)CC(O)CCCCCCCC)CCN(C(C)C)CC(O)CCCCCCCC,ZAL_form,,"""ZAL:siRNA ratio such that the number of hydrophobic tails in the ZAL times the ZAL:siRNA mole ratio in the formulation was ~1000"", plus assumed siRNA MW = 13300Da",ZA2-Ep10,Miller_Zwitter,Crude,Hand,siRNA,miller,HeLa,FFL,in_vitro,1.0,Miller_ZAL,max,Individual,Cell_viability,Miller_Zwitter,,849.366,2.0,,Miller_Zwitter_Miller_ZAL_FFL_in_vitro
0.97361237,1.0,[O-]S(=O)(=O)CCC[N+](C)(C)CCNC(=O)CCN(C(C)C)CCN(CCN(C(C)C)CCC(=O)OCCCCCCCCCCCCCC)CCN(C(C)C)CCC(=O)OCCCCCCCCCCCCCC,ZAL_form,,"""ZAL:siRNA ratio such that the number of hydrophobic tails in the ZAL times the ZAL:siRNA mole ratio in the formulation was ~1000"", plus assumed siRNA MW = 13300Da",ZA2-Ac14,Miller_Zwitter,Crude,Hand,siRNA,miller,HeLa,FFL,in_vitro,1.0,Miller_ZAL,max,Individual,Cell_viability,Miller_Zwitter,,1073.71,2.0,,Miller_Zwitter_Miller_ZAL_FFL_in_vitro
