smiles,quantified_toxicity
*CN(C)CC#Cc1ccc(CCCC)cc1,96.65
*CN(C)CC#Cc1ccc(CCCCCC)cc1,96.35
*CN(C)CC#Cc1ccc(C2CCC(CCC)CC2)cc1,90.7
*CN(CC)CC#Cc1ccc(CCCC)cc1,97.85
*CN(CC)CC#Cc1ccc(CCCCCC)cc1,95.2
*CN(CC)CC#Cc1ccc(C2CCC(CCC)CC2)cc1,95.1
*CN(CC#Cc1ccc(CCCC)cc1)CCOC,94.6
*CN(CC#Cc1ccc(CCCCCC)cc1)CCOC,96.1
*CN(CC#Cc1ccc(C2CCC(CCC)CC2)cc1)CCOC,95.1
*CN(CC#Cc1ccc(CCCC)cc1)CCO,91.35
*CN(CC#Cc1ccc(CCCCCC)cc1)CCO,95.5
*CN(CC#Cc1ccc(C2CCC(CCC)CC2)cc1)CCO,96.85
*CN(CC#Cc1ccc(CCCC)cc1)C1CCCCC1,92.45
*CN(CC#Cc1ccc(CCCCCC)cc1)C1CCCCC1,96.8
*CN(CC#Cc1ccc(C2CCC(CCC)CC2)cc1)C1CCCCC1,94.15
*CN(CC#Cc1ccc(CCCC)cc1)c1ccccc1,101.9
*CN(CC#Cc1ccc(CCCCCC)cc1)c1ccccc1,99.8
*CN(CC#Cc1ccc(C2CCC(CCC)CC2)cc1)c1ccccc1,96.85
*CN(CC#Cc1ccc(CCCC)cc1)C1CCC(O)CC1,95.8
*CN(CC#Cc1ccc(CCCCCC)cc1)C1CCC(O)CC1,92.45
*CN(CC#Cc1ccc(C2CCC(CCC)CC2)cc1)C1CCC(O)CC1,93.25
*CN(CC#Cc1ccc(CCCC)cc1)CC(=O)OC,94.85
*CN(CC#Cc1ccc(CCCCCC)cc1)CC(=O)OC,95.05
*CN(CC#Cc1ccc(C2CCC(CCC)CC2)cc1)CC(=O)OC,95.45
*CN(CC#Cc1ccc(CCCC)cc1)CCN(C)C,92.05
*CN(CC#Cc1ccc(CCCCCC)cc1)CCN(C)C,96.95
*CN(CC#Cc1ccc(C2CCC(CCC)CC2)cc1)CCN(C)C,90.45
*CN(CC#Cc1ccc(CCCC)cc1)CCCN(C)C,93.4
*CN(CC#Cc1ccc(CCCCCC)cc1)CCCN(C)C,96.1
*CN(CC#Cc1ccc(C2CCC(CCC)CC2)cc1)CCCN(C)C,91.25
*CN(CC#Cc1ccc(CCCC)cc1)CCN(CC)CC,91.45
*CN(CC#Cc1ccc(CCCCCC)cc1)CCN(CC)CC,91.8
*CN(CC#Cc1ccc(C2CCC(CCC)CC2)cc1)CCN(CC)CC,92.45
*CN(CC#Cc1ccc(CCCC)cc1)CCCN(CC)CC,97.25
*CN(CC#Cc1ccc(CCCCCC)cc1)CCCN(CC)CC,101.05
*CN(CC#Cc1ccc(C2CCC(CCC)CC2)cc1)CCCN(CC)CC,95.9
*CN(CC#Cc1ccc(CCCC)cc1)CCN1CCCC1,99.55
*CN(CC#Cc1ccc(CCCCCC)cc1)CCN1CCCC1,99.1
*CN(CC#Cc1ccc(C2CCC(CCC)CC2)cc1)CCN1CCCC1,91.6
*CN(CC#Cc1ccc(CCCC)cc1)CCCN1CCCC1,96.8
*CN(CC#Cc1ccc(CCCCCC)cc1)CCCN1CCCC1,98.45
*CN(CC#Cc1ccc(C2CCC(CCC)CC2)cc1)CCCN1CCCC1,97.05
*CN(CC#Cc1ccc(CCCC)cc1)CCCn1ccnc1,95.05
*CN(CC#Cc1ccc(CCCCCC)cc1)CCCn1ccnc1,88.8
*CN(CC#Cc1ccc(C2CCC(CCC)CC2)cc1)CCCn1ccnc1,96.0
*CN(CC#Cc1ccc(CCCC)cc1)CCN1CCOCC1,96.45
*CN(CC#Cc1ccc(CCCCCC)cc1)CCN1CCOCC1,94.45
*CN(CC#Cc1ccc(C2CCC(CCC)CC2)cc1)CCN1CCOCC1,94.9
*CN(CC#Cc1ccc(CCCC)cc1)CCN1CCCCC1,95.85
*CN(CC#Cc1ccc(CCCCCC)cc1)CCN1CCCCC1,101.0
*CN(CC#Cc1ccc(C2CCC(CCC)CC2)cc1)CCN1CCCCC1,97.85
*CN(CC#Cc1ccc(CCCC)cc1)CCN1CCN(C)CC1,95.1
*CN(CC#Cc1ccc(CCCCCC)cc1)CCN1CCN(C)CC1,94.95
*CN(CC#Cc1ccc(C2CCC(CCC)CC2)cc1)CCN1CCN(C)CC1,97.65
*CN1CCN(CC#Cc2ccc(CCCC)cc2)CC1,92.05
*CN1CCN(CC#Cc2ccc(CCCCCC)cc2)CC1,94.4
*CN1CCN(CC#Cc2ccc(C3CCC(CCC)CC3)cc2)CC1,95.35
*CN(C)CCCN(C)CC#Cc1ccc(CCCC)cc1,94.45
*CN(C)CCCN(C)CC#Cc1ccc(CCCCCC)cc1,101.3
*CN(C)CCCN(C)CC#Cc1ccc(C2CCC(CCC)CC2)cc1,93.05
*CN(CC)CCN(CC)CC#Cc1ccc(CCCC)cc1,91.3
*CN(CC)CCN(CC)CC#Cc1ccc(CCCCCC)cc1,93.7
*CN(CC)CCN(CC)CC#Cc1ccc(C2CCC(CCC)CC2)cc1,94.55
*CN(C)CCCN(C)CCCN(C)CC#Cc1ccc(CCCC)cc1,99.05
*CN(C)CCCN(C)CCCN(C)CC#Cc1ccc(CCCCCC)cc1,95.6
